File_path,filter_idx
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0300.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0301.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0302.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0303.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0304.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0305.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0306.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0307.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0308.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0309.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0310.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0311.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0312.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0313.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0314.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0315.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0316.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0317.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0318.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0319.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0320.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0321.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0322.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0323.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0324.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0325.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0326.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0327.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0328.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0329.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0330.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0331.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0332.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0333.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0334.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0335.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0336.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0337.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0338.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0339.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0340.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0341.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0342.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0343.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0344.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0345.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0346.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0347.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0348.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0349.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0350.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0351.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0352.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0353.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0354.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0355.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0356.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0357.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0358.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0359.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0360.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0361.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0362.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0363.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0364.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0365.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0366.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0367.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0368.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0369.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0370.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0371.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0372.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0373.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0374.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0375.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0376.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0377.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0378.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0379.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0380.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0381.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0382.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0383.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0384.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0385.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0386.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0387.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0388.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0389.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0390.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0391.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0392.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0393.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0394.wav,0
D:\VSCodeRepository\SceneZone-ANC\data\synth_noise\cls_0\0395.wav,0
